Aaden has 	 fav team: Cardinals 	 RedSox friends: 47 	 Cardinals friends: 18
Aaliyah has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 43
Aarav has 	 fav team: Red Sox 	 RedSox friends: 27 	 Cardinals friends: 55
Aaron has 	 fav team: Cardinals 	 RedSox friends: 55 	 Cardinals friends: 24
Abbie has 	 fav team: Red Sox 	 RedSox friends: 32 	 Cardinals friends: 38
Abbigail has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 27
Abby has 	 fav team: Cardinals 	 RedSox friends: 48 	 Cardinals friends: 27
Abdiel has 	 fav team: Red Sox 	 RedSox friends: 33 	 Cardinals friends: 47
Abdullah has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 20
Abel has 	 fav team: Cardinals 	 RedSox friends: 51 	 Cardinals friends: 23
Abigail has 	 fav team: Red Sox 	 RedSox friends: 33 	 Cardinals friends: 49
Abraham has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 22
Abram has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 33
Abrielle has 	 fav team: Red Sox 	 RedSox friends: 72 	 Cardinals friends: 30
Abril has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 37
Ace has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 40
Ada has 	 fav team: Cardinals 	 RedSox friends: 38 	 Cardinals friends: 28
Adalyn has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 55
Adalynn has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 33
Adam has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 29
Adan has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 28
Addilyn has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 30
Addison has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 36
Addisyn has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 43
Addyson has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 44
Adelaide has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 45
Adele has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 45
Adelina has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 50
Adeline has 	 fav team: Cardinals 	 RedSox friends: 62 	 Cardinals friends: 27
Adelyn has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 46
Adelynn has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 27
Aden has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 34
Aditya has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 28
Adley has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 49
Adonis has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 41
Adrian has 	 fav team: Cardinals 	 RedSox friends: 46 	 Cardinals friends: 34
Adriana has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 51
Adrianna has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 21
Adriel has 	 fav team: Cardinals 	 RedSox friends: 57 	 Cardinals friends: 31
Adrien has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 46
Adrienne has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 39
Agustin has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 50
Ahmad has 	 fav team: Cardinals 	 RedSox friends: 47 	 Cardinals friends: 48
Ahmed has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 23
Aidan has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 50
Aiden has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 47
Aidyn has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 50
Aileen has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 28
Aimee has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 51
Ainsley has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 46
Aisha has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 46
Aiyana has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 43
Akira has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 32
Alaina has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 26
Alan has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 53
Alana has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 56
Alani has 	 fav team: Cardinals 	 RedSox friends: 22 	 Cardinals friends: 50
Alanna has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 46
Alannah has 	 fav team: Red Sox 	 RedSox friends: 33 	 Cardinals friends: 39
Alaya has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 34
Alayah has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 42
Alayna has 	 fav team: Cardinals 	 RedSox friends: 40 	 Cardinals friends: 50
Alaysia has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 44
Albert has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 39
Alberto has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 47
Alden has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 50
Aldo has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 30
Aleah has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 33
Alec has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 55
Aleena has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 49
Aleigha has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 47
Alejandra has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 34
Alejandro has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 24
Alena has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 58
Alessandra has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 32
Alessandro has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 24
Alex has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 51
Alexa has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 24
Alexander has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 44
Alexandra has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 26
Alexandria has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 32
Alexia has 	 fav team: Cardinals 	 RedSox friends: 38 	 Cardinals friends: 55
Alexis has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 50
Alexzander has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 32
Alfonso has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 47
Alfred has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 66
Alfredo has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 49
Ali has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 55
Alia has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 41
Aliana has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 54
Alice has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 13
Alicia has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 31
Alijah has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 53
Alina has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 37
Alisa has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 49
Alisha has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 17
Alison has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 22
Alissa has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 59
Alisson has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 51
Alivia has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 45
Aliya has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 32
Aliyah has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 27
Aliza has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 25
Allan has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 30
Allen has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 31
Allie has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 30
Allison has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 51
Ally has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 50
Allyson has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 38
Alma has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 32
Alondra has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 27
Alonso has 	 fav team: Red Sox 	 RedSox friends: 38 	 Cardinals friends: 29
Alonzo has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 48
Alvaro has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 19
Alvin has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 52
Alyson has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 50
Alyssa has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 51
Alyvia has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 51
Amanda has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 30
Amani has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 34
Amara has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 57
Amare has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 42
Amari has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 53
Amaya has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 40
Amber has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 30
Ameer has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 54
Amelia has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 51
Amelie has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 54
America has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 39
Amina has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 41
Amir has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 50
Amira has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 25
Amirah has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 47
Amiya has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 36
Amiyah has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 31
Amos has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 28
Amy has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 28
Amya has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 44
Ana has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Anabel has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 29
Anabella has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 29
Anabelle has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 28
Anahi has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 30
Analia has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 43
Anastasia has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 40
Anaya has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 36
Anders has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 25
Anderson has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 35
Andre has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 37
Andrea has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 50
Andres has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 49
Andrew has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 40
Andy has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 20
Angel has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 37
Angela has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 21
Angelica has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 30
Angelina has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 33
Angeline has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 29
Angelique has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 28
Angelo has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 40
Angie has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 47
Anika has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 43
Aniya has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 49
Aniyah has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 25
Ann has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 26
Anna has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 34
Annabel has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 43
Annabell has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 37
Annabella has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 26
Annabelle has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 26
Annalee has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 61
Annalise has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 46
Anne has 	 fav team: Cardinals 	 RedSox friends: 38 	 Cardinals friends: 43
Annie has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 35
Annika has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 49
Ansley has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 28
Anthony has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 47
Antoine has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 46
Anton has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 43
Antonio has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 44
Anya has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 43
Apollo has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 41
April has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 30
Arabella has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 43
Araceli has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 53
Archer has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 26
